dataset,threshold,model,size_B,exp1_acc_mean,exp1_acc_std,exp1_acc_range,exp1_flip_rate,exp1_var_ratio
arc_challenge,baseline,LLaMA-3.1-8B,8,0.7513874720357943,0.04757127673274424,0.2733333333333333,0.7933333333333333,1.8390059533282888
arc_challenge,baseline,Qwen2.5-7B,7,0.8351333333333332,0.05622854158600319,0.28,0.74,3.5332662638071755
arc_challenge,baseline,Qwen3-32B,32,0.8997906040268456,0.03861267773454917,0.16000000000000003,0.5066666666666667,2.520501743734361
arc_challenge,baseline,Qwen2.5-72B,72,0.8886000000000002,0.09645399594279822,0.33333333333333337,0.6533333333333333,15.508969330876567
arc_challenge,remove_10pct,LLaMA-3.1-8B,8,0.8025555555555556,0.04521425849611467,0.28148148148148144,0.7777777777777778,1.7578016213712837
arc_challenge,remove_10pct,Qwen2.5-7B,7,0.8894814814814815,0.06086419252247494,0.28148148148148155,0.7111111111111111,5.2798169695979125
arc_challenge,remove_10pct,Qwen3-32B,32,0.9268805970149253,0.028788723908850747,0.11851851851851847,0.45925925925925926,1.6745376195552362
arc_challenge,remove_10pct,Qwen2.5-72B,72,0.9090370370370371,0.09191204718103933,0.32592592592592584,0.6148148148148148,15.38249392812302
arc_challenge,remove_20pct,LLaMA-3.1-8B,8,0.8629810924369749,0.04432740324839713,0.29166666666666663,0.7583333333333333,2.02554426970502
arc_challenge,remove_20pct,Qwen2.5-7B,7,0.9246666666666666,0.06493501024528721,0.29999999999999993,0.675,7.717677166103831
arc_challenge,remove_20pct,Qwen3-32B,32,0.9606603641456581,0.03273221588483907,0.125,0.4083333333333333,3.496722223132389
arc_challenge,remove_20pct,Qwen2.5-72B,72,0.9277499999999997,0.0854160975590797,0.30833333333333324,0.5833333333333334,14.65089089705298
arc_challenge,remove_30pct,LLaMA-3.1-8B,8,0.9181904761904762,0.035356172826199656,0.2666666666666666,0.7238095238095238,1.7816308695699545
arc_challenge,remove_30pct,Qwen2.5-7B,7,0.9407619047619046,0.06416503664331252,0.2761904761904761,0.6476190476190476,8.368366106882533
arc_challenge,remove_30pct,Qwen3-32B,32,0.9636144688644687,0.02564144444647507,0.10476190476190483,0.38095238095238093,2.0041588479113774
arc_challenge,remove_30pct,Qwen2.5-72B,72,0.9359047619047617,0.07997567657442738,0.2952380952380952,0.5714285714285714,12.575661990273206
mmlu_pro,baseline,LLaMA-3.1-8B,8,0.373260772040984,0.0487661941954291,0.2640791476407915,0.8866666666666667,1.5011268027367375
mmlu_pro,baseline,Qwen2.5-7B,7,0.422398979159957,0.041436009224610396,0.21065607451034107,0.8466666666666667,1.0572162326350774
mmlu_pro,baseline,Qwen3-32B,32,0.5738482201956829,0.0467029728245634,0.22012318440889866,0.86,1.3275168586451034
mmlu_pro,baseline,Qwen2.5-72B,72,0.548617792326684,0.052839321816466805,0.2698717070720906,0.7733333333333333,1.6971717818760554
mmlu_pro,remove_10pct,LLaMA-3.1-8B,8,0.3872077778917835,0.044900818134136135,0.2557830210501966,0.8740740740740741,1.129519855934346
mmlu_pro,remove_10pct,Qwen2.5-7B,7,0.42124907738969014,0.04329530848953053,0.21947082767978293,0.8296296296296296,1.0417337948709755
mmlu_pro,remove_10pct,Qwen3-32B,32,0.5537947584919446,0.04824579148494895,0.23585858585858588,0.8444444444444444,1.2604753770611805
mmlu_pro,remove_10pct,Qwen2.5-72B,72,0.5425571413835357,0.06201181182215991,0.28088878913702164,0.7481481481481481,2.1100081971454028
mmlu_pro,remove_20pct,LLaMA-3.1-8B,8,0.39154496185121396,0.04217260071877904,0.2564102564102564,0.8666666666666667,0.8836939076406801
mmlu_pro,remove_20pct,Qwen2.5-7B,7,0.4214815334217129,0.041180296561863776,0.20505638152696976,0.8166666666666667,0.8361971092627947
mmlu_pro,remove_20pct,Qwen3-32B,32,0.5477713595804287,0.04829405736124091,0.23076923076923078,0.825,1.1240306222936378
mmlu_pro,remove_20pct,Qwen2.5-72B,72,0.5282384780944104,0.051705955979257694,0.25751317476143004,0.7166666666666667,1.290516156911221
mmlu_pro,remove_30pct,LLaMA-3.1-8B,8,0.3975835285339744,0.042446797678507224,0.24514563106796117,0.8571428571428571,0.7836606494880131
mmlu_pro,remove_30pct,Qwen2.5-7B,7,0.43594537135242456,0.049907187300136685,0.2545248868778281,0.8,1.0685966633512944
mmlu_pro,remove_30pct,Qwen3-32B,32,0.5221396495773236,0.04255692737495473,0.21958880639634493,0.8095238095238095,0.7564572930640417
mmlu_pro,remove_30pct,Qwen2.5-72B,72,0.5123041610968511,0.053975417728604126,0.27567214339058993,0.6761904761904762,1.2287508450926496
